phylum,class,order,familly,genus,species
Arthropoda,Thecostraca,Scalpellomorpha,Scalpellidae,Arcoscalpellum,Arcoscalpellum michelottianum
Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,Arctica islandica
Annelida,Polychaeta,[unassigned] Sedentaria,Arenicolidae,Arenicola,Arenicola defodiens
Annelida,Polychaeta,[unassigned] Sedentaria,Arenicolidae,Arenicola,Arenicola marina
Arthropoda,Malacostraca,Decapoda,Aristeidae,Aristaeomorpha,Aristaeomorpha foliacea
Arthropoda,Malacostraca,Decapoda,Aristeidae,Aristeus,Aristeus antennatus
Mollusca,Gastropoda,Nudibranchia,Arminidae,Armina,Armina tigrina
Mollusca,Bivalvia,Venerida,Tellinidae,Asbjornsenia,Asbjornsenia pygmaea
Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Ascidia mentula
Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Ascidiella aspersa
Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,Ascidiella scabra
Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Aslia,Aslia lefevrei
Mollusca,Gastropoda,Littorinimorpha,Assimineidae,Assiminea,Assiminea grayana
Mollusca,Bivalvia,Carditoida,Astartidae,Astarte,Astarte borealis
Mollusca,Bivalvia,Carditoida,Astartidae,Astarte,Astarte elliptica
Mollusca,Bivalvia,Carditoida,Astartidae,Astarte,Astarte montagui
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens
Echinodermata,Asteroidea,Valvatida,Asterinidae,Asterina,Asterina gibbosa
Echinodermata,Asteroidea,Valvatida,Asterinidae,Asterina,Asterina phylactica
Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Astroides,Astroides calycularis
Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,Astropecten aranciacus
Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,Astropecten irregularis
Mollusca,Bivalvia,Ostreida,Pinnidae,Atrina,Atrina fragilis
Porifera,Demospongiae,Axinellida,Axinellidae,Axinella,Axinella damicornis
Porifera,Demospongiae,Axinellida,Axinellidae,Axinella,Axinella polypoides
Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia europaea
Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus balanus
Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus
Annelida,Clitellata,Haplotaxida,Naididae,Baltidrilus,Baltidrilus costatus
Mollusca,Bivalvia,Arcida,Arcidae,Barbatia,Barbatia barbata
Mollusca,Gastropoda,Littorinimorpha,Barleeiidae,Barleeia,Barleeia unifasciata
Mollusca,Bivalvia,Myida,Pholadidae,Barnea,Barnea candida
Mollusca,Bivalvia,Myida,Pholadidae,Barnea,Barnea parva
Mollusca,Bivalvia,Mytilida,Mytilidae,Bathymodiolus,Bathymodiolus azoricus
Mollusca,Cephalopoda,Octopoda,Bathypolypodidae,Bathypolypus,Bathypolypus arcticus
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia elegans
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia gracilis
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia guilliamsoniana
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia pelagica
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia pilosa
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia sarsi
Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,Bathyporeia tenuipes
Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Bela,Bela nebula
Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,Bittium reticulatum
Annelida,Polychaeta,Spionida,Spionidae,Boccardia,Boccardia polybranchia
Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,Bodotria arenosa
Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,Bodotria scorpioides
Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,Boltenia echinata
Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Borealea,Borealea nobilis
Mollusca,Polyplacophora,Chitonida,Tonicellidae,Boreochiton,Boreochiton ruber
Arthropoda,Malacostraca,Mysida,Mysidae,Boreomysis,Boreomysis arctica
